republican_word,republican_score,democrat_word,democrat_score
bring,0.29612255,country,-0.31853244
come,0.2709987,nation,-0.28754836
service,0.24970898,increase,-0.2856187
care,0.24095273,family,-0.2855427
friend,0.21525632,effort,-0.27527073
state,0.20195353,allow,-0.25662738
community,0.18292442,provide,-0.23536876
great,0.122941285,fact,-0.2338861
program,0.115346916,american,-0.23200963
important,0.11466192,new,-0.20301515
help,0.10035192,include,-0.16707739
change,0.08229672,life,-0.15779857
pay,0.06518227,public,-0.15233798
child,0.06268845,good,-0.1284217
legislation,0.05554456,way,-0.11403716
opportunity,0.05088616,day,-0.11284773
law,0.04283318,continue,-0.105961405
look,0.022633044,try,-0.09611255
use,0.0064056553,understand,-0.08621549
honor,0.0029629774,know,-0.058935814
