scenario,year,rep,pol
fit_party_none,1994,0,0.5000035762786865
fit_party_none,1994,1,0.5000094175338745
fit_party_none,1994,2,0.5000101327896118
fit_party_none,1994,3,0.5000132918357849
fit_party_none,1994,4,0.5000022649765015
fit_party_none,1995,0,0.5000103712081909
fit_party_none,1995,1,0.5000070929527283
fit_party_none,1995,2,0.5000033378601074
fit_party_none,1995,3,0.5000114440917969
fit_party_none,1995,4,0.5000093579292297
fit_party_none,1996,0,0.5000088214874268
fit_party_none,1996,1,0.5000067949295044
fit_party_none,1996,2,0.5000029802322388
fit_party_none,1996,3,0.5000072717666626
fit_party_none,1996,4,0.5000081658363342
fit_party_none,1997,0,0.5000081658363342
fit_party_none,1997,1,0.5000013709068298
fit_party_none,1997,2,0.5000282526016235
fit_party_none,1997,3,0.5000114440917969
fit_party_none,1997,4,0.5000029802322388
fit_party_none,1998,0,0.5000104904174805
fit_party_none,1998,1,0.5000078678131104
fit_party_none,1998,2,0.5000069737434387
fit_party_none,1998,3,0.5000056028366089
fit_party_none,1998,4,0.5000045299530029
fit_party_none,1999,0,0.500008225440979
fit_party_none,1999,1,0.500001072883606
fit_party_none,1999,2,0.500006377696991
fit_party_none,1999,3,0.500005841255188
fit_party_none,1999,4,0.5000057220458984
fit_party_none,2000,0,0.5000104308128357
fit_party_none,2000,1,0.5000112056732178
fit_party_none,2000,2,0.5000073909759521
fit_party_none,2000,3,0.5000103712081909
fit_party_none,2000,4,0.5000016093254089
fit_party_none,2001,0,0.5000102519989014
fit_party_none,2001,1,0.5000017881393433
fit_party_none,2001,2,0.5000056028366089
fit_party_none,2001,3,0.5000206828117371
fit_party_none,2001,4,0.5000046491622925
fit_party_none,2002,0,0.500007152557373
fit_party_none,2002,1,0.500007152557373
fit_party_none,2002,2,0.5000051259994507
fit_party_none,2002,3,0.5000063180923462
fit_party_none,2002,4,0.5000097751617432
fit_party_none,2003,0,0.5000085830688477
fit_party_none,2003,1,0.5000032186508179
fit_party_none,2003,2,0.5000122785568237
fit_party_none,2003,3,0.5000052452087402
fit_party_none,2003,4,0.5000178813934326
fit_party_none,2004,0,0.5000147819519043
fit_party_none,2004,1,0.5000011920928955
fit_party_none,2004,2,0.5000056624412537
fit_party_none,2004,3,0.5000061392784119
fit_party_none,2004,4,0.5000028014183044
fit_party_none,2005,0,0.5000081062316895
fit_party_none,2005,1,0.5000059604644775
fit_party_none,2005,2,0.5000036954879761
fit_party_none,2005,3,0.5000227689743042
fit_party_none,2005,4,0.5000082850456238
fit_party_none,2006,0,0.5000318288803101
fit_party_none,2006,1,0.5000045299530029
fit_party_none,2006,2,0.500024676322937
fit_party_none,2006,3,0.500023365020752
fit_party_none,2006,4,0.5000169277191162
fit_party_none,2007,0,0.5000125765800476
fit_party_none,2007,1,0.500005304813385
fit_party_none,2007,2,0.5000070929527283
fit_party_none,2007,3,0.5000045299530029
fit_party_none,2007,4,0.5000019073486328
fit_party_none,2008,0,0.5000096559524536
fit_party_none,2008,1,0.5000126361846924
