model,experiment,w_prior,ae_type,vi_type,mean_topic_corr,overall_corr,rmse,correlation
GTM,w_prior,0.001,vae,iaf,0.23394849011230895,0.22119102753655207,0.20312689244747162,
GTM,w_prior,0.01,vae,iaf,0.20747597154827208,0.22268807580498562,0.16100633144378662,
GTM,w_prior,0.1,vae,iaf,0.12342858026052528,0.1262265739260203,0.16392657160758972,
GTM,w_prior,1.0,vae,iaf,0.10867164478460081,0.11157090497509846,0.16442395746707916,
GTM,w_prior,10.0,vae,iaf,0.1076746212948572,0.11018929980595367,0.16447730362415314,
IdealPointNN,w_prior,0.001,vae,full_rank,,,0.8239110714374424,0.35052094171434356
IdealPointNN,w_prior,0.01,vae,full_rank,,,0.8343973557591384,0.31685243483812703
IdealPointNN,w_prior,0.1,vae,full_rank,,,0.8672613070352725,0.16773626396356117
IdealPointNN,w_prior,1.0,vae,full_rank,,,0.8780473080947852,0.06173539146254022
IdealPointNN,w_prior,10.0,vae,full_rank,,,0.8788552255685003,0.04446537189924824
GTM,ae_type,0.01,ae,mean_field,0.30414907257791046,0.3013715209999155,0.2166452705860138,
GTM,ae_type,0.01,vae,iaf,0.20747597154827208,0.22268807580498562,0.16100633144378662,
GTM,ae_type,0.01,wae,mean_field,0.3480863453935836,0.35241263691384217,0.19508258998394012,
IdealPointNN,ae_type,0.01,ae,mean_field,,,0.8380521106281732,0.3041339619492567
IdealPointNN,ae_type,0.01,vae,full_rank,,,0.8343973557591384,0.31685243483812703
IdealPointNN,ae_type,0.01,wae,mean_field,,,0.8047178146860947,0.40404849512075736
GTM,vi_type,0.01,vae,mean_field,0.2208791327533417,0.24198500138075832,0.16117127239704132,
GTM,vi_type,0.01,vae,full_rank,0.39902654466547316,0.3978116888308758,0.1512530893087387,
GTM,vi_type,0.01,vae,iaf,0.20747597154827208,0.22268807580498562,0.16100633144378662,
